adx_threshold,swing_period,cooldown_bars,min_vwap_dist_pct,pos_frac_cap,ema_filter,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital,sl_rate_pct
25,100,20,0.002,0.25,True,-34.93,-6.69,-1.02,-0.297,-37.03,-0.181,28.66,0.683,164,6507.32,71.34
35,50,10,0.005,0.2,True,-26.47,-4.83,-1.023,-0.222,-30.18,-0.16,30.63,0.622,111,7353.41,67.57
35,100,10,0.005,0.15,True,-20.76,-3.68,-1.025,-0.195,-23.52,-0.156,34.34,0.6,99,7923.71,64.65
35,50,30,0.002,0.25,True,-23.88,-4.3,-1.03,-0.181,-25.34,-0.17,25.71,0.542,70,7612.03,74.29
35,100,30,0.002,0.2,True,-21.11,-3.75,-1.034,-0.173,-22.22,-0.169,31.08,0.549,74,7888.9,68.92
25,50,20,0.002,0.2,True,-31.46,-5.9,-1.047,-0.309,-35.78,-0.165,29.94,0.687,177,6854.12,70.06
35,200,10,0.002,0.15,True,-21.27,-3.78,-1.055,-0.2,-22.9,-0.165,30.77,0.564,91,7873.18,69.23
25,200,10,0.005,0.15,True,-28.15,-5.19,-1.057,-0.27,-31.87,-0.163,33.76,0.654,157,7184.76,66.24
30,50,10,0.005,0.2,True,-32.01,-6.03,-1.059,-0.29,-35.4,-0.17,29.56,0.665,159,6799.15,69.18
35,50,10,0.01,0.25,True,-28.28,-5.21,-1.06,-0.201,-30.99,-0.168,22.67,0.537,75,7171.64,77.33
25,100,30,0.01,0.25,True,-28.78,-5.32,-1.065,-0.215,-30.95,-0.172,25.29,0.566,87,7122.42,74.71
25,100,30,0.005,0.2,True,-27.93,-5.14,-1.065,-0.24,-29.93,-0.172,29.66,0.62,118,7207.26,70.34
25,200,10,0.01,0.2,True,-31.47,-5.91,-1.066,-0.249,-36.83,-0.16,27.59,0.607,116,6853.1,72.41
30,50,30,0.005,0.15,True,-22.25,-3.97,-1.076,-0.227,-24.9,-0.16,30.19,0.589,106,7774.65,68.87
25,50,20,0.01,0.15,True,-22.43,-4.01,-1.079,-0.212,-24.59,-0.163,28.26,0.557,92,7756.57,70.65
35,100,10,0.002,0.15,True,-23.2,-4.16,-1.086,-0.225,-24.67,-0.169,34.21,0.598,114,7679.55,64.91
30,200,30,0.002,0.15,True,-22.21,-3.97,-1.089,-0.233,-23.39,-0.17,27.0,0.567,100,7778.55,70.0
25,100,10,0.01,0.2,True,-32.11,-6.05,-1.095,-0.266,-36.78,-0.164,26.02,0.609,123,6789.05,73.17
25,50,30,0.01,0.2,True,-26.47,-4.83,-1.113,-0.214,-26.56,-0.182,27.59,0.543,87,7352.58,72.41
30,50,10,0.01,0.2,True,-30.26,-5.64,-1.113,-0.245,-32.15,-0.175,27.1,0.582,107,6973.51,72.9
35,50,20,0.01,0.15,True,-18.51,-3.24,-1.115,-0.159,-20.07,-0.162,23.08,0.434,52,8148.75,76.92
30,50,20,0.01,0.25,False,-39.94,-7.89,-1.118,-0.333,-42.55,-0.185,28.25,0.665,177,6005.65,67.8
30,50,20,0.01,0.15,True,-20.96,-3.72,-1.118,-0.196,-22.02,-0.169,27.27,0.517,77,7903.52,71.43
